	%Time (s)	Temperature (C)	9/7/2016	9:53 AM
	0.000	23.372	23.667	23.073	23.019
	1.462	23.366	23.696	23.083	23.006
	2.838	23.374	23.681	23.096	22.999
	4.203	23.379	23.672	23.119	23.031
	5.556	23.326	23.675	23.103	22.989
	6.933	23.325	23.659	23.053	22.955
	8.309	23.294	23.651	23.055	22.938
	9.671	23.286	23.640	23.039	22.928
	11.026	23.266	23.607	23.035	22.915
	12.383	23.294	23.640	23.037	22.905
	13.743	23.279	23.601	23.034	22.904
	15.108	23.294	23.612	23.037	22.921
	16.472	23.265	23.575	23.027	22.918
	17.841	23.274	23.622	23.020	22.925
	19.212	23.253	23.605	22.988	22.930
	20.574	23.207	23.564	22.949	22.886
	21.930	23.193	23.566	22.896	22.871
	23.297	23.155	23.537	22.868	22.835
	24.656	23.164	23.534	22.832	22.815
	26.015	23.173	23.535	22.811	22.790
	27.376	23.163	23.505	22.826	22.784
	28.735	23.155	23.466	22.802	22.771
	30.087	23.140	23.469	22.803	22.769
	31.451	23.118	23.463	22.775	22.762
	32.811	23.120	23.441	22.799	22.759
	34.172	23.098	23.459	22.850	22.753
	35.533	23.081	23.448	22.832	22.727
	36.917	23.055	23.420	22.812	22.699
	38.275	23.037	23.409	22.780	22.691
	39.629	23.038	23.392	22.755	22.670
	40.978	23.025	23.391	22.785	22.677
	42.339	23.020	23.373	22.807	22.706
	43.726	23.023	23.389	22.801	22.720
	45.092	23.045	23.403	22.840	22.762
	46.451	23.079	23.387	22.878	22.750
	47.812	23.163	23.415	22.904	22.751
	49.172	23.185	23.414	22.906	22.762
	50.532	23.171	23.400	22.902	22.741
	51.892	23.152	23.385	22.929	22.756
	53.245	23.133	23.403	22.876	22.766
	54.620	23.132	23.401	22.871	22.767
	55.987	23.086	23.392	22.852	22.775
	57.355	23.113	23.392	22.847	22.761
	58.911	23.106	23.385	22.856	22.796
	60.283	23.109	23.373	22.858	22.774
	61.650	23.082	23.357	22.851	22.782
	62.997	23.064	23.346	22.837	22.778
	64.370	23.083	23.361	22.896	22.807
	65.742	23.155	23.375	22.911	22.849
	67.108	23.173	23.362	22.948	22.880
	68.468	23.198	23.370	22.995	22.937
	69.829	23.241	23.399	23.025	23.002
	71.201	23.317	23.432	23.136	23.053
	72.560	23.344	23.444	23.148	23.113
	73.922	23.338	23.441	23.117	23.059
	75.283	23.346	23.472	23.174	23.057
	76.654	23.317	23.441	23.158	23.062
	78.016	23.333	23.469	23.180	23.063
	79.375	23.368	23.484	23.224	23.113
	80.734	23.386	23.490	23.233	23.147
	82.088	23.392	23.500	23.213	23.097
	83.455	23.402	23.485	23.220	23.122
	86.431	23.435	23.558	23.316	23.147
	87.799	23.436	23.548	23.335	23.154
	89.166	23.402	23.528	23.306	23.135
	90.533	23.352	23.509	23.230	23.074
	92.190	23.334	23.537	23.143	23.030
	93.559	23.288	23.530	23.112	22.985
	94.969	23.307	23.527	23.089	22.975
	96.329	23.328	23.548	23.119	22.991
	97.681	23.310	23.503	23.107	23.013
	99.046	23.266	23.513	23.128	23.002
	100.406	23.285	23.522	23.070	23.023
	101.767	23.242	23.508	23.045	22.993
	103.119	23.210	23.502	23.041	22.982
	104.495	23.236	23.498	22.993	22.951
	105.854	23.184	23.478	22.974	22.907
	107.236	23.131	23.448	22.908	22.880
	108.591	23.141	23.449	22.919	22.887
	109.953	23.142	23.443	22.983	22.904
	111.317	23.135	23.442	22.967	22.914
	112.699	23.136	23.440	22.965	22.887
	114.077	23.119	23.444	22.927	22.897
	115.438	23.104	23.417	22.911	22.884
	116.799	23.091	23.416	22.924	22.881
	118.169	23.074	23.383	22.896	22.883
	119.541	23.151	23.387	22.910	22.905
	120.910	23.166	23.428	22.929	22.892
	122.281	23.227	23.413	22.919	22.901
	123.636	23.234	23.419	22.975	22.912
	124.995	23.227	23.410	22.946	22.912
	126.371	23.216	23.441	22.971	22.898
	127.746	23.198	23.413	22.952	22.874
	129.121	23.191	23.437	22.949	22.880
	130.496	23.182	23.404	22.930	22.846
	131.860	23.179	23.407	22.926	22.862
	133.219	23.183	23.417	22.897	22.840
