	%Time (s)	Temperature (C)	9/7/2016	10:02 AM
	0.000	94.091	94.388	94.318	94.382
	3.122	94.149	94.335	94.346	94.400
	4.477	94.186	94.334	94.339	94.354
	5.850	94.151	94.359	94.294	94.357
	7.229	94.139	94.370	94.306	94.368
	8.603	94.117	94.298	94.316	94.334
	9.962	94.146	94.304	94.325	94.309
	11.332	94.107	94.330	94.334	94.302
	12.701	94.108	94.299	94.372	94.388
	14.060	94.188	94.304	94.382	94.292
	15.434	94.127	94.323	94.412	94.307
	16.795	94.181	94.317	94.378	94.276
	18.151	94.129	94.280	94.404	94.156
	19.519	94.099	94.344	94.344	94.273
	20.871	94.106	94.311	94.390	94.274
	22.240	94.168	94.289	94.409	94.300
	23.593	94.132	94.264	94.393	94.348
	24.967	94.030	94.277	94.381	94.341
	26.326	94.100	94.286	94.417	94.359
	27.685	94.121	94.301	94.433	94.317
	29.059	94.178	94.309	94.378	94.241
	30.421	94.037	94.332	94.416	94.282
	31.781	94.159	94.306	94.364	94.292
	33.138	94.066	94.279	94.422	94.285
	34.515	94.134	94.313	94.365	94.303
	35.886	94.151	94.283	94.356	94.215
	37.261	94.147	94.292	94.361	94.121
	38.635	94.111	94.309	94.367	94.234
	40.002	94.095	94.307	94.393	94.429
	41.354	94.139	94.298	94.379	94.263
	42.730	94.122	94.272	94.308	94.303
	44.094	94.161	94.320	94.235	94.250
	45.456	94.081	94.345	94.323	94.278
	46.807	94.097	94.293	94.351	94.295
	48.166	94.122	94.292	94.296	94.318
	49.532	94.062	94.251	94.314	94.260
	50.887	94.078	94.270	94.276	94.222
	52.257	94.086	94.314	94.314	94.310
	53.625	94.069	94.295	94.370	94.268
	54.985	94.157	94.250	94.286	94.200
	56.345	94.021	94.285	94.220	94.254
	57.696	94.081	94.314	94.361	94.253
	59.062	94.087	94.300	94.284	94.274
	60.423	94.070	94.272	94.262	94.218
	61.791	94.012	94.250	94.178	94.311
	63.161	94.011	94.290	94.299	94.268
	64.526	94.074	94.321	94.274	94.209
	65.885	94.013	94.237	94.284	94.279
	67.242	94.052	94.321	94.305	94.253
	68.613	94.019	94.271	94.235	94.191
	69.988	94.095	94.161	94.269	94.266
	71.371	94.062	94.255	94.259	94.273
	72.747	93.995	94.279	94.242	94.230
	74.124	94.081	94.251	94.336	94.253
	75.484	94.047	94.268	94.324	94.262
	76.894	94.025	94.335	94.411	94.162
	78.263	94.003	94.320	94.237	94.249
	79.621	94.052	94.300	94.289	94.308
	80.995	94.011	94.305	94.273	94.274
	82.354	94.040	94.251	94.319	94.235
	83.721	94.053	94.273	94.298	94.306
	85.073	94.067	94.186	94.280	94.155
	86.449	94.099	94.261	94.339	94.314
	87.845	94.093	94.286	94.312	94.297
	89.212	94.026	94.315	94.352	94.353
