%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83696.643,305.407,352.026,145.504,-0.019,-0.006,5.000
83676.503,305.410,352.026,145.664,-0.002,-0.016,5.000
83680.531,305.412,351.947,145.504,0.014,-0.016,5.000
83692.615,305.414,351.868,145.345,0.014,-0.006,5.000
83696.643,305.414,352.105,145.345,0.014,0.014,5.000
83696.643,305.410,352.184,145.504,0.014,-0.006,5.000
83696.643,305.410,352.026,145.345,0.030,-0.016,5.000
83684.559,305.412,352.026,145.664,-0.002,0.004,5.000
83688.587,305.407,351.710,145.345,-0.002,-0.006,5.000
83688.587,305.412,351.789,145.824,0.014,-0.006,5.000
83696.643,305.412,352.105,145.345,0.014,-0.006,5.000
83700.671,305.412,351.789,145.664,-0.002,-0.006,5.000
83684.559,305.410,352.026,145.185,-0.002,-0.016,5.000
83696.643,305.417,351.947,145.664,-0.002,0.004,5.000
83696.643,305.414,351.868,145.504,-0.002,-0.027,5.000
83684.559,305.412,351.868,145.664,-0.002,-0.006,5.000
83692.615,305.410,351.789,145.664,-0.002,-0.006,5.000
83696.643,305.409,352.026,145.504,-0.019,-0.006,5.000
83696.643,305.410,351.947,145.824,-0.019,-0.006,5.000
83692.615,305.412,352.026,145.984,0.014,0.014,5.000
83708.726,305.423,350.052,176.216,0.014,0.517,5.000
83716.782,305.423,350.131,176.216,-0.035,0.507,5.000
83716.782,305.420,350.210,176.536,-0.002,0.507,5.000
83708.726,305.418,350.289,176.216,0.014,0.517,5.000
83712.754,305.415,350.210,175.896,-0.019,0.496,5.000
83708.726,305.418,350.052,176.056,-0.002,0.507,5.000
83700.671,305.417,350.131,176.056,-0.002,0.517,5.000
83716.782,305.415,350.210,176.376,0.030,0.507,5.000
83716.782,305.415,350.289,175.896,0.030,0.517,5.000
83696.643,305.420,350.368,175.896,-0.019,0.517,5.000
83712.754,305.417,350.131,175.896,0.014,0.496,5.000
83704.698,305.415,350.131,175.736,0.014,0.517,5.000
83704.698,305.415,350.289,175.736,-0.019,0.517,5.000
83700.671,305.415,350.368,175.416,-0.002,0.517,5.000
83708.726,305.414,350.447,175.576,-0.019,0.527,5.000
83684.559,305.420,350.368,175.576,-0.002,0.517,5.000
83704.698,305.417,350.368,175.416,-0.019,0.507,5.000
83708.726,305.414,350.289,175.096,-0.019,0.537,5.000
83700.671,305.415,350.289,174.936,-0.019,0.517,5.000
83692.615,305.412,350.131,175.096,-0.019,0.517,5.000
83680.531,305.415,352.500,226.123,-0.002,1.491,5.000
83680.531,305.422,352.105,226.283,0.014,1.481,5.000
83688.587,305.420,352.263,226.283,-0.002,1.460,5.000
83680.531,305.422,352.342,226.283,0.014,1.471,5.000
83696.643,305.423,352.263,226.443,0.014,1.481,5.000
83680.531,305.420,352.342,226.443,-0.019,1.491,5.000
83684.559,305.417,352.105,226.762,-0.019,1.471,5.000
83684.559,305.422,352.184,226.443,-0.002,1.481,5.000
83684.559,305.420,352.184,226.762,0.014,1.481,5.000
83680.531,305.420,352.026,226.922,-0.019,1.481,5.000
83692.615,305.418,352.184,227.242,0.014,1.491,5.000
83688.587,305.420,352.263,227.242,-0.035,1.481,5.000
83696.643,305.420,352.263,227.722,-0.035,1.471,5.000
83692.615,305.415,352.342,227.242,-0.002,1.501,5.000
83680.531,305.418,352.263,227.402,-0.002,1.481,5.000
83692.615,305.417,352.105,227.402,-0.019,1.491,5.000
83700.671,305.414,352.263,227.562,-0.002,1.491,5.000
83696.643,305.422,352.421,227.562,0.014,1.491,5.000
83704.698,305.417,352.579,227.882,-0.019,1.491,5.000
83696.643,305.423,352.500,228.042,-0.019,1.491,5.000
83704.698,305.418,352.737,229.322,-0.002,2.496,5.000
83700.671,305.420,352.500,229.322,-0.019,2.517,5.000
83704.698,305.417,352.737,229.322,0.014,2.517,5.000
83704.698,305.417,352.658,229.322,0.014,2.496,5.000
83712.754,305.418,352.895,229.322,-0.019,2.527,5.000
83704.698,305.422,352.737,229.322,-0.002,2.527,5.000
83700.671,305.423,352.737,229.162,-0.002,2.517,5.000
83700.671,305.423,352.973,229.162,0.047,2.517,5.000
83692.615,305.418,352.737,229.162,-0.019,2.517,5.000
83696.643,305.420,352.895,229.322,-0.002,2.517,5.000
83692.615,305.420,352.421,229.002,0.014,2.517,5.000
83700.671,305.422,352.737,229.322,-0.019,2.517,5.000
83696.643,305.422,352.579,229.482,-0.002,2.527,5.000
83700.671,305.420,352.500,229.322,-0.019,2.517,5.000
83708.726,305.418,352.658,229.162,-0.002,2.517,5.000
83688.587,305.420,352.737,229.162,-0.019,2.527,5.000
83684.559,305.417,352.816,229.162,-0.019,2.517,5.000
83696.643,305.415,352.579,229.002,-0.002,2.517,5.000
83696.643,305.420,352.579,229.322,0.014,2.517,5.000
83692.615,305.423,352.737,229.322,-0.002,2.506,5.000
83700.671,305.414,349.025,248.357,-0.019,3.501,5.000
83704.698,305.415,348.788,248.517,-0.002,3.481,5.000
83696.643,305.415,348.867,248.677,0.030,3.470,5.000
83696.643,305.414,348.867,248.517,-0.019,3.491,5.000
83680.531,305.412,348.709,248.357,-0.002,3.491,5.000
83696.643,305.414,348.867,248.677,-0.002,3.470,5.000
83704.698,305.412,348.946,248.836,-0.019,3.460,5.000
83704.698,305.420,349.025,249.156,-0.019,3.501,5.000
83704.698,305.417,349.104,249.156,0.014,3.491,5.000
83696.643,305.415,348.946,249.636,-0.035,3.481,5.000
83700.671,305.414,349.025,249.476,-0.002,3.481,5.000
83692.615,305.414,348.867,249.476,0.014,3.481,5.000
83684.559,305.417,349.104,249.796,0.014,3.491,5.000
83696.643,305.417,349.025,249.956,-0.019,3.501,5.000
83700.671,305.415,349.183,250.116,-0.019,3.470,5.000
83700.671,305.417,349.262,250.276,-0.002,3.481,5.000
83696.643,305.415,349.183,250.116,-0.002,3.481,5.000
83692.615,305.415,349.025,250.436,0.014,3.481,5.000
83700.671,305.414,349.025,250.596,0.014,3.491,5.000
83692.615,305.414,349.025,250.756,0.014,3.491,5.000
83688.587,305.412,351.394,289.785,0.014,4.517,5.000
83684.559,305.410,351.394,289.785,-0.002,4.506,5.000
83692.615,305.412,351.157,289.785,-0.002,4.527,5.000
83676.503,305.410,350.999,289.945,-0.002,4.496,5.000
83688.587,305.409,351.315,289.625,-0.002,4.527,5.000
83692.615,305.414,351.078,289.945,-0.019,4.527,5.000
83684.559,305.410,351.157,289.945,-0.002,4.517,5.000
83688.587,305.417,351.315,290.105,0.014,4.496,5.000
83688.587,305.414,351.157,289.945,-0.002,4.527,5.000
83688.587,305.410,351.157,289.945,-0.002,4.496,5.000
83692.615,305.410,350.920,289.945,-0.002,4.496,5.000
83688.587,305.415,351.157,289.945,0.014,4.496,5.000
83692.615,305.410,350.841,290.105,-0.002,4.506,5.000
83696.643,305.418,351.157,290.105,-0.002,4.517,5.000
83696.643,305.414,350.841,289.945,-0.019,4.517,5.000
83696.643,305.412,351.078,289.945,0.014,4.506,5.000
83696.643,305.414,351.157,290.105,-0.002,4.496,5.000
83696.643,305.410,350.763,289.785,0.014,4.506,5.000
83688.587,305.412,350.763,289.945,0.014,4.517,5.000
83688.587,305.414,350.841,289.305,-0.019,4.496,5.000
83696.643,305.405,352.026,295.704,-0.002,5.501,5.000
83696.643,305.410,352.026,295.224,-0.002,5.501,5.000
83704.698,305.417,352.105,294.584,-0.002,5.501,5.000
83700.671,305.410,351.868,294.584,-0.002,5.491,5.000
83700.671,305.410,351.947,294.424,-0.002,5.491,5.000
83700.671,305.409,351.868,294.104,0.030,5.511,5.000
83708.726,305.409,351.868,293.944,-0.019,5.481,5.000
83700.671,305.412,351.868,293.624,-0.035,5.501,5.000
83704.698,305.414,352.026,293.464,0.014,5.491,5.000
83700.671,305.412,351.868,293.624,0.014,5.491,5.000
83704.698,305.410,351.868,293.464,-0.019,5.491,5.000
83708.726,305.415,351.868,293.144,-0.002,5.491,5.000
83692.615,305.410,351.552,292.985,-0.002,5.491,5.000
83692.615,305.417,351.710,292.985,-0.019,5.501,5.000
83704.698,305.412,351.789,293.144,-0.002,5.501,5.000
83704.698,305.415,351.710,293.304,-0.002,5.481,5.000
83692.615,305.418,351.789,292.985,-0.019,5.491,5.000
83688.587,305.412,351.868,293.304,-0.002,5.501,5.000
83696.643,305.414,351.710,293.144,0.030,5.491,5.000
83696.643,305.410,351.947,293.304,-0.019,5.501,5.000
83692.615,305.407,349.341,324.336,0.014,6.506,5.000
83688.587,305.414,349.262,323.856,-0.019,6.527,5.000
83692.615,305.414,349.341,323.536,-0.019,6.506,5.000
83700.671,305.412,349.420,323.376,0.030,6.516,5.000
83696.643,305.412,349.341,323.056,0.014,6.527,5.000
83688.587,305.409,349.183,322.576,-0.019,6.516,5.000
83684.559,305.410,349.262,322.257,0.014,6.527,5.000
83688.587,305.415,349.183,322.097,0.014,6.516,5.000
83680.531,305.412,349.657,322.097,0.014,6.506,5.000
83692.615,305.412,349.420,321.937,0.030,6.506,5.000
83692.615,305.409,349.183,321.617,-0.002,6.516,5.000
83676.503,305.407,349.262,321.297,-0.002,6.506,5.000
83696.643,305.412,349.341,320.977,0.014,6.537,5.000
83688.587,305.409,348.946,320.497,-0.002,6.506,5.000
83696.643,305.407,349.262,320.657,-0.002,6.506,5.000
83692.615,305.412,349.341,320.497,-0.002,6.496,5.000
83696.643,305.410,349.262,320.177,-0.002,6.506,5.000
83696.643,305.410,349.420,319.857,-0.051,6.506,5.000
83680.531,305.412,349.420,319.697,-0.002,6.496,5.000
83684.559,305.409,349.420,319.537,-0.019,6.527,5.000
83696.643,305.401,350.526,335.693,-0.019,7.491,5.000
83692.615,305.402,350.289,336.013,0.014,7.501,5.000
83696.643,305.409,350.447,335.853,-0.002,7.491,5.000
83692.615,305.409,350.289,335.853,-0.019,7.501,5.000
83688.587,305.409,350.526,335.533,-0.019,7.491,5.000
83692.615,305.405,350.131,335.693,-0.019,7.491,5.000
83688.587,305.407,350.210,335.533,0.030,7.511,5.000
83684.559,305.405,350.210,335.533,0.030,7.501,5.000
83696.643,305.409,349.973,335.853,0.014,7.501,5.000
83704.698,305.405,350.210,335.693,-0.019,7.511,5.000
83700.671,305.410,350.210,335.533,-0.002,7.501,5.000
83700.671,305.409,350.289,335.533,-0.002,7.511,5.000
83700.671,305.410,350.289,335.533,0.014,7.501,5.000
83700.671,305.404,350.052,335.533,-0.002,7.491,5.000
83696.643,305.407,350.052,335.373,-0.002,7.511,5.000
83704.698,305.409,350.131,335.693,-0.035,7.501,5.000
83696.643,305.414,350.210,335.533,-0.002,7.501,5.000
83700.671,305.412,350.210,335.693,-0.002,7.491,5.000
83704.698,305.410,350.210,335.693,-0.002,7.501,5.000
83700.671,305.409,350.289,335.533,0.014,7.491,5.000
83688.587,305.399,350.841,348.330,0.014,8.506,5.000
83688.587,305.401,351.315,348.809,-0.002,8.506,5.000
83692.615,305.401,350.999,348.969,0.014,8.516,5.000
83696.643,305.409,351.315,348.969,-0.002,8.496,5.000
83696.643,305.404,351.078,349.289,0.030,8.506,5.000
83680.531,305.401,350.999,349.289,0.014,8.506,5.000
83688.587,305.405,351.315,349.289,-0.019,8.485,5.000
83696.643,305.399,351.394,349.449,-0.019,8.496,5.000
83684.559,305.402,351.315,349.609,0.014,8.506,5.000
83688.587,305.402,351.315,349.929,0.014,8.506,5.000
83692.615,305.405,351.394,350.409,-0.019,8.506,5.000
83684.559,305.404,351.631,350.249,-0.035,8.506,5.000
83696.643,305.404,351.552,350.249,-0.002,8.506,5.000
83692.615,305.402,351.552,350.409,0.014,8.516,5.000
83680.531,305.401,351.394,350.249,-0.002,8.506,5.000
83688.587,305.401,351.552,350.569,-0.002,8.516,5.000
83696.643,305.405,351.631,351.049,0.014,8.516,5.000
83692.615,305.404,351.868,351.049,-0.002,8.506,5.000
83692.615,305.410,351.947,351.209,-0.002,8.496,5.000
83696.643,305.410,351.947,351.049,-0.002,8.496,5.000
83688.587,305.404,352.737,343.531,-0.002,9.511,5.000
83680.531,305.404,352.579,343.691,0.030,9.490,5.000
83684.559,305.401,352.579,343.691,-0.002,9.480,5.000
83684.559,305.401,352.658,344.011,0.014,9.490,5.000
83684.559,305.402,352.658,344.331,-0.002,9.480,5.000
83688.587,305.402,352.658,344.331,0.014,9.480,5.000
83688.587,305.407,352.737,344.491,-0.002,9.501,5.000
83684.559,305.407,352.579,344.491,-0.019,9.490,5.000
83680.531,305.402,352.658,344.651,0.014,9.490,5.000
83684.559,305.405,352.500,344.970,0.014,9.490,5.000
83684.559,305.404,352.500,344.970,0.014,9.511,5.000
83672.475,305.401,352.421,345.290,-0.002,9.501,5.000
83688.587,305.404,352.658,345.450,-0.002,9.501,5.000
83688.587,305.407,352.421,345.450,-0.019,9.501,5.000
83692.615,305.407,352.816,345.450,0.014,9.490,5.000
83676.503,305.404,352.500,345.610,-0.002,9.501,5.000
83684.559,305.404,352.579,345.610,0.030,9.480,5.000
83684.559,305.401,352.105,345.770,0.014,9.501,5.000
83680.531,305.405,352.500,345.930,0.014,9.501,5.000
83696.643,305.405,352.500,345.930,-0.002,9.480,5.000
83692.615,305.397,352.421,356.487,-0.002,152.431,5.000
83688.587,305.396,352.500,356.487,-0.002,152.400,5.000
83696.643,305.393,352.579,356.327,-0.002,152.400,5.000
