%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83966.514,303.032,-0.719,-0.032,-128.088,207.222,0.500
83958.458,303.024,-1.034,-0.192,-128.170,207.201,0.500
83954.430,303.023,-1.113,-0.512,-128.154,207.201,0.500
83946.374,303.021,-0.955,-0.512,-128.154,207.201,0.500
83946.374,303.019,-0.955,-0.512,-128.154,207.212,0.500
83962.486,303.018,-1.034,-0.192,-128.610,207.201,0.500
83958.458,303.023,-0.798,-0.032,-128.202,207.212,0.500
83966.514,303.023,-0.798,0.128,-128.284,207.201,0.500
83954.430,303.026,-0.955,-0.352,-128.186,207.212,0.500
83950.402,303.021,-1.034,-0.032,-128.202,207.201,0.500
83950.402,303.023,-1.034,-0.192,-127.550,207.201,0.500
83950.402,303.019,-1.271,-0.352,-128.202,207.222,0.500
83958.458,303.019,-1.113,-0.192,-128.219,207.201,0.500
83950.402,303.023,-1.034,-0.032,-128.137,207.212,0.500
83962.486,303.026,-0.876,-0.192,-128.235,207.201,0.500
83962.486,303.018,-0.955,-0.032,-128.284,207.201,0.500
83966.514,303.021,-1.113,0.128,-128.121,207.222,0.500
83946.374,303.023,-1.192,-0.192,-128.105,207.191,0.500
83938.318,303.021,-1.271,-0.192,-128.382,207.212,0.500
83950.402,303.023,-1.113,-0.032,-128.268,207.212,0.500
83950.402,303.079,-71.627,0.128,-128.170,207.222,2.500
83954.430,303.082,-71.706,-0.032,-128.170,207.201,2.500
83958.458,303.084,-71.469,0.128,-127.925,207.212,2.500
83962.486,303.084,-71.548,-0.032,-128.186,207.191,2.500
83958.458,303.079,-71.311,-0.032,-128.349,207.201,2.500
83958.458,303.079,-71.627,-0.032,-128.382,207.212,2.500
83954.430,303.077,-71.785,-0.352,-128.154,207.212,2.500
83958.458,303.077,-71.627,0.128,-128.284,207.201,2.500
83962.486,303.076,-71.785,-0.192,-128.219,207.232,2.500
83958.458,303.081,-71.706,0.128,-128.105,207.222,2.500
83966.514,303.084,-71.548,0.128,-128.235,207.201,2.500
83966.514,303.079,-71.785,-0.512,-128.154,207.212,2.500
83962.486,303.079,-71.942,-0.032,-128.039,207.201,2.500
83958.458,303.081,-71.785,-0.032,-127.876,207.201,2.500
83946.374,303.082,-71.785,-0.192,-128.023,207.222,2.500
83954.430,303.079,-71.627,-0.032,-128.186,207.191,2.500
83966.514,303.079,-71.627,-0.192,-128.137,207.201,2.500
83962.486,303.077,-71.706,-0.192,-128.137,207.212,2.500
83962.486,303.077,-71.627,-0.192,-128.039,207.212,2.500
83958.458,303.081,-71.863,-0.512,-128.186,207.212,2.500
83958.458,303.103,-288.693,0.128,-128.137,207.212,4.500
83958.458,303.103,-289.009,0.288,-128.366,207.212,4.500
83958.458,303.103,-288.693,0.288,-128.154,207.212,4.500
83962.486,303.101,-289.167,-0.032,-128.056,207.191,4.500
83950.402,303.098,-289.009,-0.032,-128.268,207.212,4.500
83954.430,303.101,-289.167,-0.192,-128.007,207.212,4.500
83978.598,303.101,-289.009,0.128,-127.403,207.212,4.500
83966.514,303.103,-288.851,0.288,-127.713,207.201,4.500
83966.514,303.101,-288.851,0.288,-128.170,207.191,4.500
83966.514,303.103,-288.851,0.288,-127.941,207.201,4.500
83958.458,303.103,-289.009,-0.032,-128.186,207.201,4.500
83958.458,303.098,-288.930,-0.032,-128.202,207.201,4.500
83966.514,303.105,-289.246,-0.032,-128.545,207.212,4.500
83966.514,303.100,-288.930,0.128,-128.186,207.222,4.500
