%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Pitot Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
102473.219,298.471,351.344,179.848,19.074,-0.004,5
102461.125,298.477,351.423,179.528,19.091,-0.014,5
102469.188,298.467,351.344,179.208,19.074,0.006,5
102465.156,298.472,351.186,179.048,19.058,0.006,5
102473.219,298.467,351.344,179.048,19.042,-0.004,5
102473.219,298.476,351.502,178.728,19.042,-0.004,5
102469.188,298.477,351.423,178.568,19.042,-0.014,5
102461.125,298.474,351.344,178.248,19.058,0.006,5
102477.251,298.476,351.581,178.408,19.091,-0.004,5
102465.156,298.48,351.265,178.087,19.091,-0.004,5
102481.282,298.477,351.66,177.607,19.091,-0.004,5
102465.156,298.477,351.581,177.767,19.042,-0.004,5
102469.188,298.476,351.502,177.287,19.074,-0.004,5
102465.156,298.479,351.423,176.967,19.074,-0.004,5
102465.156,298.479,351.423,176.807,19.058,-0.004,5
102465.156,298.479,351.66,176.326,19.025,0.006,5
102457.093,298.492,351.581,176.807,19.009,0.016,5
102469.188,298.477,351.739,176.166,19.058,0.006,5
102469.188,298.471,351.66,176.647,19.091,-0.014,5
102465.156,298.479,351.66,176.166,19.107,-0.014,5
102473.219,298.482,351.897,268.38,19.042,0.529,5
102469.188,298.477,351.897,268.7,18.993,0.498,5
102469.188,298.477,351.66,269.18,18.993,0.529,5
102469.188,298.477,351.66,269.501,19.074,0.519,5
102469.188,298.484,351.66,269.821,19.058,0.508,5
102461.125,298.476,351.423,270.301,19.042,0.519,5
102461.125,298.48,351.502,270.781,18.977,0.508,5
102465.156,298.482,351.344,270.621,19.042,0.529,5
102444.999,298.479,351.423,271.102,19.058,0.519,5
102465.156,298.472,351.739,271.102,19.091,0.498,5
102461.125,298.477,351.423,271.262,19.009,0.519,5
102469.188,298.472,351.265,271.422,18.993,0.519,5
102461.125,298.453,351.344,271.262,19.042,0.519,5
102461.125,298.476,351.028,271.262,19.009,0.508,5
102457.093,298.474,350.949,270.941,19.058,0.508,5
102449.03,298.471,350.87,271.102,19.091,0.508,5
102461.125,298.471,350.87,270.941,19.074,0.519,5
102453.062,298.474,350.475,270.781,19.009,0.539,5
