%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Pitot Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
102537.723,299.182,8.997,-0.102,-486.606,141.326,1
102533.691,299.188,9.392,-0.423,-486.655,141.305,1
102533.691,299.187,9.076,-0.102,-486.704,141.295,1
102537.723,299.185,9.313,-0.423,-486.639,141.285,1
102537.723,299.18,9.076,-0.583,-486.688,141.326,1
102537.723,299.187,9.076,-0.263,-486.639,141.305,1
102529.66,299.183,8.76,-0.743,-486.655,141.295,1
102517.565,299.185,8.997,-0.263,-486.737,141.326,1
102533.691,299.182,8.997,-0.583,-486.606,141.305,1
102529.66,299.19,8.997,-0.263,-486.639,141.305,1
102529.66,299.182,9.155,-0.423,-486.655,141.316,1
102537.723,299.185,8.918,-0.423,-486.672,141.295,1
102537.723,299.185,9.234,-0.263,-486.672,141.305,1
102537.723,299.185,9.155,-0.583,-486.623,141.295,1
102537.723,299.183,9.234,-0.423,-486.672,141.295,1
102545.786,299.18,8.918,-0.583,-486.639,141.316,1
102537.723,299.18,8.997,-0.583,-486.639,141.295,1
102529.66,299.182,8.997,-0.583,-486.574,141.316,1
102533.691,299.183,8.997,-0.263,-486.639,141.316,1
102537.723,299.177,9.076,-0.903,-486.639,141.305,1
102529.66,299.204,104.544,-4.905,-486.639,141.275,3
102521.597,299.203,104.306,-4.905,-486.639,141.295,3
102529.66,299.204,104.385,-4.905,-486.639,141.305,3
102529.66,299.204,104.306,-4.745,-486.606,141.316,3
102533.691,299.206,104.148,-4.905,-486.639,141.295,3
102529.66,299.204,104.385,-5.225,-486.688,141.295,3
102525.628,299.211,104.623,-5.065,-486.623,141.316,3
102533.691,299.206,104.306,-4.585,-486.623,141.316,3
102537.723,299.206,104.148,-4.905,-486.639,141.316,3
102525.628,299.201,104.148,-5.225,-486.655,141.316,3
102525.628,299.201,104.148,-5.546,-486.655,141.305,3
102529.66,299.2,104.227,-5.225,-486.639,141.295,3
102513.534,299.2,104.227,-5.225,-486.655,141.295,3
102521.597,299.2,104.623,-5.225,-486.623,141.305,3
102521.597,299.208,104.385,-5.065,-486.672,141.295,3
102529.66,299.2,104.385,-5.225,-486.639,141.295,3
102529.66,299.206,104.464,-5.386,-486.574,141.295,3
102521.597,299.201,104.306,-5.546,-486.655,141.326,3
