%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
84018.877,300.687,0.973,7.444,26.968,-0.118,14.508,-12.037,-11.224,-21.816,18.061,-17.122,-17.298,-15.947,-14.736,-9.066,21.763,13.301,-5.959,4.396,12.252,-18.801,0,-544.798,-289.718,14.557,-121.251,215.58
84014.849,300.69,0.973,7.444,26.968,-0.118,14.075,-12.485,-10.689,-21.607,18.169,-17.433,-16.764,-15.947,-14.847,-8.962,20.918,13.195,-6.691,4.815,12.044,-19.364,0,-544.798,-289.718,14.557,-121.283,215.59
84010.821,300.686,0.973,7.444,26.968,-0.118,13.858,-12.931,-11.542,-21.503,18.169,-17.433,-16.977,-15.626,-15.071,-8.962,21.763,12.45,-6.482,5.024,11.941,-18.689,0,-544.798,-289.718,14.557,-121.283,215.58
84022.905,300.69,0.973,7.433,26.889,0.362,14.075,-12.039,-11.756,-21.402,17.952,-18.471,-17.191,-15.84,-14.177,-8.754,21.34,13.089,-7.213,5.338,12.356,-19.139,0,-544.798,-289.718,14.557,-121.3,215.59
84026.933,300.689,0.974,7.454,27.047,0.042,13.858,-11.816,-11.008,-22.132,17.736,-17.122,-18.045,-15.519,-14.847,-8.858,21.023,12.982,-6.272,4.605,12.252,-19.251,0,-544.798,-289.718,14.557,-121.283,215.59
84022.905,300.69,0.973,7.454,27.047,0.042,13.75,-12.15,-11.436,-21.61,17.736,-16.917,-16.657,-16.589,-14.736,-8.545,21.34,13.301,-6.377,5.338,11.837,-19.139,0,-544.798,-289.718,14.557,-121.283,215.601
84026.933,300.69,0.974,7.432,26.889,0.042,13.966,-13.154,-11.222,-21.819,17.303,-17.747,-17.404,-15.84,-15.517,-9.066,21.551,12.45,-6.795,4.71,12.252,-19.814,0,-544.798,-289.718,14.557,-121.251,215.59
84026.933,300.689,0.974,7.443,26.968,-0.118,14.075,-11.816,-12.184,-22.132,17.412,-18.266,-17.404,-15.733,-14.959,-9.587,21.446,12.876,-6.9,4.605,12.044,-19.814,0,-544.798,-289.718,14.557,-121.251,215.59
84026.933,300.689,0.974,7.422,26.81,0.042,13.641,-12.039,-11.222,-21.924,17.628,-17.125,-17.725,-15.518,-14.624,-8.649,21.974,13.089,-6.168,4.187,12.563,-19.589,0,-544.798,-289.718,14.557,-121.267,215.59
84022.905,300.687,0.973,7.411,26.731,-0.118,13.533,-12.15,-11.756,-21.715,17.844,-17.228,-17.404,-16.589,-14.401,-8.023,21.551,12.663,-6.377,5.338,11.941,-19.251,0,-544.798,-289.718,14.557,-121.3,215.601
