%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:35 AM
0.1000	0.0000	-0.0209
0.2000	0.0000	0.1257
0.3000	0.0251	0.2513
0.4000	0.0503	0.3665
0.5000	0.1005	0.5655
0.6000	0.1634	0.7645
0.7000	0.2513	0.8796
0.8000	0.3393	0.9948
0.9000	0.4524	1.2043
1.0000	0.5781	1.3090
1.1000	0.7163	1.5184
1.2000	0.8796	1.6336
1.3000	1.0430	1.7488
1.4000	1.2315	1.9478
1.5000	1.4326	2.1363
1.6000	1.6588	2.3248
1.7000	1.8975	2.5237
1.8000	2.1614	2.6389
1.9000	2.4253	2.7541
2.0000	2.7143	2.9531
2.1000	3.0159	3.1521
2.2000	3.3427	3.2673
2.3000	3.6694	3.3929
2.4000	4.0212	3.5291
2.5000	4.3731	3.5605
2.6000	4.7375	3.7699
2.7000	5.1271	3.9689
2.8000	5.5292	4.0736
2.9000	5.9439	4.2726
3.0000	6.3837	4.4820
3.1000	6.8361	4.5134
3.2000	7.2885	4.6496
3.3000	7.7660	4.7752
3.4000	8.2435	4.8799
3.5000	8.7462	5.1627
3.6000	9.2740	5.3512
3.7000	9.8143	5.4664
3.8000	10.3673	5.5920
3.9000	10.9327	5.6968
4.0000	11.5108	5.9690
4.1000	12.1265	6.2518
4.2000	12.7549	6.2727
4.3000	13.3832	6.3984
4.4000	14.0366	6.6078
4.5000	14.7027	6.7125
4.6000	15.3812	6.9324
4.7000	16.0850	7.1105
4.8000	16.7761	6.3774
4.9000	17.3290	4.5867
5.0000	17.6809	2.3771
5.1000	17.8191	0.5864
5.2000	17.8442	0.4922
5.3000	17.9322	0.8168
5.4000	17.9950	0.5550
5.5000	18.0453	0.4503
5.6000	18.0830	0.2409
5.7000	18.0956	0.1047
5.8000	18.1081	0.1361
5.9000	18.1207	0.0628
6.0000	18.1207	-0.0105
6.1000	18.1207	0.0000
