%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:35 AM
0.1000	0.0000	-0.0209
0.2000	0.0000	0.1152
0.3000	0.0251	0.3246
0.4000	0.0628	0.4294
0.5000	0.1131	0.6388
0.6000	0.1885	0.7435
0.7000	0.2639	0.9425
0.8000	0.3770	1.1519
0.9000	0.4901	1.1833
1.0000	0.6158	1.3090
1.1000	0.7540	1.5080
1.2000	0.9173	1.7069
1.3000	1.0933	1.8221
1.4000	1.2818	1.9373
1.5000	1.4828	2.1363
1.6000	1.7090	2.3248
1.7000	1.9478	2.5133
1.8000	2.2117	2.7122
1.9000	2.4881	2.8274
2.0000	2.7772	2.9426
2.1000	3.0788	3.1416
2.2000	3.4055	3.3510
2.3000	3.7448	3.3824
2.4000	4.0841	3.5186
2.5000	4.4485	3.6442
2.6000	4.8129	3.7594
2.7000	5.2025	3.9584
2.8000	5.6046	4.1469
2.9000	6.0319	4.3459
3.0000	6.4717	4.4611
3.1000	6.9241	4.5867
3.2000	7.3890	4.7229
3.3000	7.8665	4.7647
3.4000	8.3441	4.8799
3.5000	8.8467	5.1627
3.6000	9.3745	5.3512
3.7000	9.9149	5.4768
3.8000	10.4678	5.5187
3.9000	11.0207	5.6235
4.0000	11.5988	5.9795
4.1000	12.2145	6.2518
4.2000	12.8428	6.2832
4.3000	13.4711	6.3251
4.4000	14.1120	6.5345
4.5000	14.7781	6.7335
4.6000	15.4566	6.9115
4.7000	16.1478	6.7754
4.8000	16.7761	5.3826
4.9000	17.2034	3.2987
5.0000	17.4421	1.4661
5.1000	17.5175	0.3037
5.2000	17.5301	0.0733
5.3000	17.5427	0.1361
5.4000	17.5552	0.0524
5.5000	17.5552	0.0524
5.6000	17.5678	0.1466
5.7000	17.5804	0.0628
5.8000	17.5804	-0.0209
5.9000	17.5804	0.0733
6.0000	17.5929	0.0524
6.1000	17.5929	0.0628
