%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:42 AM
0.1000	0.0000	-0.0105
0.2000	0.0000	0.0314
0.3000	0.0126	0.3142
0.4000	0.0628	0.5760
0.5000	0.1257	0.7330
0.6000	0.2136	1.0681
0.7000	0.3393	1.3823
0.8000	0.4901	1.6755
0.9000	0.6786	2.1153
1.0000	0.9173	2.7018
1.1000	1.2189	3.2673
1.2000	1.5708	3.8223
1.3000	1.9855	4.4611
1.4000	2.4630	5.1313
1.5000	3.0034	5.5187
1.6000	3.5563	5.5920
1.7000	4.1092	5.2569
1.8000	4.5993	4.6181
1.9000	5.0391	4.2411
2.0000	5.4538	4.0631
2.1000	5.8559	3.9898
2.2000	6.2581	4.1050
2.3000	6.6853	4.5029
2.4000	7.1628	4.9951
2.5000	7.6906	5.6968
2.6000	8.3064	6.5659
2.7000	8.9975	7.2676
2.8000	9.7389	7.2257
2.9000	10.4301	6.7963
3.0000	11.0961	6.3355
3.1000	11.6993	5.9062
3.2000	12.2899	5.9167
3.3000	12.8931	6.2308
3.4000	13.5465	6.8696
3.5000	14.2754	7.8016
3.6000	15.1048	8.6499
3.7000	15.9970	9.7180
3.8000	16.9395	6.7440
3.9000	17.2913	1.6232
4.0000	17.3667	0.6493
4.1000	17.4673	1.0681
4.2000	17.5678	0.7749
4.3000	17.6181	0.3560
4.4000	17.6432	0.0942
4.5000	17.6432	0.0524
4.6000	17.6558	0.0628
4.7000	17.6558	0.0524
4.8000	17.6683	0.1466
4.9000	17.6809	0.0524
5.0000	17.6809	0.0524
5.1000	17.6934	0.1257
5.2000	17.7060	0.1780
5.3000	17.7311	0.3351
5.4000	17.7688	0.3246
5.5000	17.7940	0.2409
5.6000	17.8191	0.2409
5.7000	17.8442	0.2827
5.8000	17.8819	0.5760
5.9000	17.9573	0.7645
6.0000	18.0327	0.8587
6.1000	18.1333	1.1519
6.2000	18.2589	1.2776
6.3000	18.3846	1.2357
6.4000	18.5103	1.3928
6.5000	18.6611	1.4556
6.6000	18.7993	1.4347
6.7000	18.9501	1.5499
6.8000	19.1009	1.3509
6.9000	19.2140	0.9320
7.0000	19.2894	0.5864
7.1000	19.3396	0.4712
7.2000	19.4025	0.9948
7.3000	19.5533	2.0525
7.4000	19.8046	2.8274
7.5000	20.0936	2.7437
7.6000	20.3324	1.9478
7.7000	20.4832	1.1729
7.8000	20.5837	0.9634
7.9000	20.6968	1.4661
8.0000	20.8853	2.2515
8.1000	21.1366	2.6808
8.2000	21.4005	2.3667
8.3000	21.6016	1.7907
