%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:33 AM
0.1000	0.0126	0.0000
0.2000	0.0126	0.0838
0.3000	0.0126	0.0733
0.4000	0.0126	-0.0105
0.5000	0.0126	0.0000
0.6000	0.0126	0.0000
0.7000	0.0126	0.0000
0.8000	0.0126	0.0000
0.9000	0.0126	0.0000
1.0000	0.0126	0.0000
1.1000	0.0126	0.0000
1.2000	0.0126	0.0000
1.3000	0.0126	0.0000
1.4000	0.0126	0.0000
1.5000	0.0126	0.0000
1.6000	0.0126	0.0000
1.7000	0.0126	0.0000
1.8000	0.0126	0.0000
1.9000	0.0126	0.0000
2.0000	0.0126	0.0000
2.1000	0.0126	0.0000
2.2000	0.0126	0.0000
2.3000	0.0126	0.0000
2.4000	0.0126	0.0000
2.5000	0.0126	0.0000
2.6000	0.0126	0.0000
2.7000	0.0126	0.0000
2.8000	0.0126	0.0000
2.9000	0.0126	0.0000
3.0000	0.0126	0.0000
3.1000	0.0126	0.0000
3.2000	0.0126	0.0000
3.3000	0.0126	0.0000
3.4000	0.0126	0.0000
3.5000	0.0126	0.0000
3.6000	0.0126	0.0000
3.7000	0.0126	0.0000
3.8000	0.0126	0.0000
3.9000	0.0126	0.0000
4.0000	0.0126	-0.0105
4.1000	0.0126	0.0628
4.2000	0.0251	0.0209
4.3000	0.0377	0.9425
4.4000	0.1885	0.8692
4.5000	0.1885	-0.1257
4.6000	0.1885	-0.0000
4.7000	0.1885	-0.0000
4.8000	0.1885	-0.0000
4.9000	0.1885	-0.0000
5.0000	0.1885	-0.0000
5.1000	0.1885	-0.0000
5.2000	0.1885	-0.0000
5.3000	0.1885	-0.0000
5.4000	0.1885	-0.0000
5.5000	0.1885	-0.0000
5.6000	0.1885	-0.0000
5.7000	0.1885	-0.0000
5.8000	0.1885	-0.0000
5.9000	0.1885	-0.0000
6.0000	0.1885	-0.0000
6.1000	0.1885	-0.0000
6.2000	0.1885	-0.0000
6.3000	0.1885	-0.0000
6.4000	0.1885	-0.0000
6.5000	0.1885	-0.0000
6.6000	0.1885	-0.0000
6.7000	0.1885	-0.0000
6.8000	0.1885	-0.0000
6.9000	0.1885	-0.0000
7.0000	0.1885	-0.0000
7.1000	0.1885	-0.0000
7.2000	0.1885	-0.0105
7.3000	0.1885	0.0628
7.4000	0.2011	0.1257
7.5000	0.2136	0.1676
7.6000	0.2388	0.3770
7.7000	0.2890	0.5655
7.8000	0.3519	0.7645
7.9000	0.4398	0.8796
8.0000	0.5278	1.0053
8.1000	0.6409	1.1205
8.2000	0.7540	1.3195
8.3000	0.9048	1.5289
8.4000	1.0556	1.5499
8.5000	1.2189	1.7593
8.6000	1.4074	1.9478
8.7000	1.6085	2.1363
8.8000	1.8347	2.3353
8.9000	2.0735	2.4504
9.0000	2.3248	2.5656
9.1000	2.5887	2.7646
9.2000	2.8777	2.9531
9.3000	3.1793	3.1521
9.4000	3.5060	3.2673
9.5000	3.8327	3.3929
9.6000	4.1846	3.5291
9.7000	4.5365	3.5709
9.8000	4.9009	3.6966
9.9000	5.2779	3.8851
10.0000	5.6800	4.1574
10.1000	6.1073	4.3563
10.2000	6.5471	4.3982
10.3000	6.9869	4.4506
10.4000	7.4393	4.5763
10.5000	7.9042	4.7752
10.6000	8.3943	4.9742
10.7000	8.8970	5.0789
10.8000	9.4122	5.2883
10.9000	9.9526	5.4035
11.0000	10.4929	5.5187
11.1000	11.0584	5.7177
11.2000	11.6365	5.8957
11.3000	12.2396	6.1680
11.4000	12.8680	6.3670
11.5000	13.5088	6.3984
11.6000	14.1497	6.5345
11.7000	14.8158	6.6497
11.8000	15.4818	6.8906
11.9000	16.1855	7.0581
12.0000	16.8389	5.2674
12.1000	17.2034	2.1572
12.2000	17.3039	0.3456
12.3000	17.3165	0.0628
12.4000	17.3290	0.0628
12.5000	17.3290	-0.0105
12.6000	17.3290	0.0000
12.7000	17.3290	0.0000
12.8000	17.3290	0.0000
12.9000	17.3290	0.0000
13.0000	17.3290	0.0000
13.1000	17.3290	0.0000
13.2000	17.3290	-0.0105
13.3000	17.3290	0.0733
13.4000	17.3416	0.0733
13.5000	17.3416	-0.0105
13.6000	17.3416	-0.0000
13.7000	17.3416	-0.0000
13.8000	17.3416	-0.0000
13.9000	17.3416	-0.0000
14.0000	17.3416	-0.0105
14.1000	17.3416	0.0733
14.2000	17.3542	0.0628
14.3000	17.3542	0.0524
14.4000	17.3667	0.1152
14.5000	17.3793	0.2409
14.6000	17.4170	0.4608
14.7000	17.4673	0.5027
14.8000	17.5175	0.5550
14.9000	17.5804	0.7016
15.0000	17.6558	0.7540
15.1000	17.7311	0.8378
15.2000	17.8191	0.7854
15.3000	17.8819	0.5027
15.4000	17.9196	0.2304
15.5000	17.9322	0.1152
15.6000	17.9448	0.0628
15.7000	17.9448	-0.0105
15.8000	17.9448	0.0000
15.9000	17.9448	0.0000
16.0000	17.9448	0.0000
16.1000	17.9448	0.0000
