%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:36 AM
0.1000	0.0000	-0.0105
0.2000	0.0000	-0.0524
0.3000	0.0126	0.9529
0.4000	0.1634	0.8692
0.5000	0.1634	-0.1257
0.6000	0.1634	-0.1361
0.7000	0.1634	0.9215
0.8000	0.3267	1.1310
0.9000	0.3644	0.3246
1.0000	0.4147	0.5550
1.1000	0.4775	0.7645
1.2000	0.5655	0.8692
1.3000	0.6535	1.0681
1.4000	0.7791	1.2671
1.5000	0.9048	1.3823
1.6000	1.0556	1.4975
1.7000	1.2064	1.6965
1.8000	1.3949	1.8954
1.9000	1.5834	1.9897
2.0000	1.7970	2.2829
2.1000	2.0358	2.3876
2.2000	2.2745	2.4923
2.3000	2.5384	2.7855
2.4000	2.8274	2.8903
2.5000	3.1165	3.0055
2.6000	3.4306	3.2254
2.7000	3.7573	3.2673
2.8000	4.0841	3.3091
2.9000	4.4234	3.5186
3.0000	4.7878	3.7176
3.1000	5.1648	3.8223
3.2000	5.5543	4.0108
3.3000	5.9690	4.3040
3.4000	6.4088	4.3354
3.5000	6.8361	4.3773
3.6000	7.2885	4.5972
3.7000	7.7535	4.7124
3.8000	8.2310	4.8276
3.9000	8.7211	5.0265
4.0000	9.2363	5.2255
4.1000	9.7641	5.3407
4.2000	10.3044	5.4664
4.3000	10.8573	5.5711
4.4000	11.4228	5.8434
4.5000	12.0260	6.1156
4.6000	12.6418	6.2308
4.7000	13.2701	6.2622
4.8000	13.8984	6.4717
4.9000	14.5644	6.6811
5.0000	15.2304	6.7230
5.1000	15.9090	6.9220
5.2000	16.5876	6.1785
5.3000	17.1154	4.4192
5.4000	17.4673	2.5866
5.5000	17.6432	1.0891
5.6000	17.7060	0.2827
5.7000	17.7186	0.0524
5.8000	17.7311	0.3246
5.9000	17.7814	0.4712
6.0000	17.8191	0.3875
6.1000	17.8568	0.2618
6.2000	17.8694	0.0419
