%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:43 AM
0.1000	0.0000	-0.0105
0.2000	0.0000	0.0733
0.3000	0.0126	0.0733
0.4000	0.0126	-0.0105
0.5000	0.0126	0.0000
0.6000	0.0126	0.0000
0.7000	0.0126	0.0000
0.8000	0.0126	-0.0105
0.9000	0.0126	0.0733
1.0000	0.0251	0.0419
1.1000	0.0251	0.1466
1.2000	0.0628	0.5760
1.3000	0.1382	0.8796
1.4000	0.2388	1.1833
1.5000	0.3770	1.5603
1.6000	0.5529	1.9897
1.7000	0.7791	2.5761
1.8000	1.0681	3.1416
1.9000	1.4074	3.6966
2.0000	1.8096	4.3459
2.1000	2.2745	4.9218
2.2000	2.7897	5.4035
2.3000	3.3427	5.4664
2.4000	3.8704	5.1208
2.5000	4.3605	4.5658
2.6000	4.7878	4.1888
2.7000	5.2025	3.9270
2.8000	5.5795	3.8642
2.9000	5.9816	4.0003
3.0000	6.3837	4.2411
3.1000	6.8361	4.6810
3.2000	7.3262	5.3093
3.3000	7.9042	6.1785
3.4000	8.5577	6.9010
3.5000	9.2740	7.3094
3.6000	10.0028	7.1733
3.7000	10.6940	6.5240
3.8000	11.3097	5.9795
3.9000	11.9004	5.7910
4.0000	12.4784	5.9062
4.1000	13.0942	6.4193
4.2000	13.7727	7.2780
4.3000	14.5519	8.2100
4.4000	15.4064	9.1316
4.5000	16.3111	7.6969
4.6000	16.8892	4.2621
4.7000	17.1782	1.4032
4.8000	17.2285	0.5445
4.9000	17.3416	1.6127
5.0000	17.5427	2.1363
5.1000	17.7563	2.1991
5.2000	17.9825	2.3248
5.3000	18.2212	2.4609
5.4000	18.4726	2.5342
5.5000	18.7239	2.4819
5.6000	18.9627	2.2096
5.7000	19.1637	1.8431
5.8000	19.3396	1.7279
5.9000	19.5281	2.2305
6.0000	19.8046	3.4976
6.1000	20.2067	3.9898
6.2000	20.5711	3.3720
6.3000	20.8727	2.5656
6.4000	21.0864	1.8326
6.5000	21.2497	1.4556
6.6000	21.3880	1.3509
6.7000	21.5388	1.8745
6.8000	21.7775	2.8693
6.9000	22.1168	4.0317
7.0000	22.5692	4.6705
7.1000	23.0342	4.7019
7.2000	23.5117	4.8799
