%Time (s)	Theta (rad)	Omega (rad/s)
	%2/27/201510:40 AM
0.1000	0.0000	-0.0105
0.2000	0.0000	0.0524
0.3000	0.0126	0.1885
0.4000	0.0377	0.2932
0.5000	0.0754	0.5550
0.6000	0.1508	0.8796
0.7000	0.2513	1.1938
0.8000	0.3896	1.4975
0.9000	0.5529	1.8640
1.0000	0.7665	2.3876
1.1000	1.0304	2.8693
1.2000	1.3446	3.5186
1.3000	1.7342	4.1574
1.4000	2.1740	4.7124
1.5000	2.6766	5.3407
1.6000	3.2296	5.5187
1.7000	3.7699	5.3721
1.8000	4.2977	5.0580
1.9000	4.7752	4.5134
2.0000	5.2025	4.0317
2.1000	5.5920	3.9165
2.2000	5.9942	4.0736
2.3000	6.4088	4.2411
2.4000	6.8487	4.6077
2.5000	7.3388	5.2569
2.6000	7.9042	6.0319
2.7000	8.5451	6.8068
2.8000	9.2614	7.5398
2.9000	10.0280	7.3827
3.0000	10.7191	6.5659
3.1000	11.3474	6.0423
3.2000	11.9381	5.8643
3.3000	12.5287	5.9062
3.4000	13.1319	6.3460
3.5000	13.8104	7.2152
3.6000	14.5770	8.1263
3.7000	15.4315	8.9954
3.8000	16.3488	8.9117
3.9000	17.1908	8.1472
4.0000	17.9573	6.6602
4.1000	18.5228	5.1836
4.2000	19.0129	4.5867
4.3000	19.4150	2.7646
4.4000	19.5910	1.9687
4.5000	19.8297	2.0211
4.6000	19.9680	0.8168
4.7000	20.0057	0.1676
4.8000	20.0182	0.1152
4.9000	20.0308	0.0524
5.0000	20.0308	0.0524
5.1000	20.0434	0.1152
5.2000	20.0559	0.2618
5.3000	20.0936	0.3560
5.4000	20.1188	0.1047
5.5000	20.1188	0.0524
5.6000	20.1313	0.0628
5.7000	20.1313	0.0628
5.8000	20.1439	0.0314
5.9000	20.1439	0.1676
6.0000	20.1942	0.9320
6.1000	20.3324	1.7279
6.2000	20.5334	2.2934
6.3000	20.7848	2.6389
6.4000	21.0612	2.9845
6.5000	21.3880	3.6442
6.6000	21.7775	3.8746
6.7000	22.1419	3.4243
6.8000	22.4435	2.3667
6.9000	22.6069	0.9739
7.0000	22.6572	0.2513
7.1000	22.6823	0.2409
7.2000	22.7451	1.5289
7.3000	23.0216	4.4611
7.4000	23.5368	3.4662
7.5000	23.6625	0.5864
7.6000	23.7127	0.2304
7.7000	23.7253	0.1990
7.8000	23.7630	0.5027
7.9000	23.8258	0.7854
8.0000	23.9138	0.8378
8.1000	23.9892	0.7749
8.2000	24.0646	0.5131
8.3000	24.1023	0.6074
8.4000	24.2028	1.4032
8.5000	24.3662	1.6022
8.6000	24.4919	0.5969
8.7000	24.4919	-0.1047
8.8000	24.4919	0.0000
8.9000	24.4919	0.0000
9.0000	24.4919	0.0000
9.1000	24.4919	0.0000
9.2000	24.4919	0.0000
9.3000	24.4919	0.0000
9.4000	24.4919	0.0000
9.5000	24.4919	0.0000
9.6000	24.4919	0.0000
9.7000	24.4919	0.0000
9.8000	24.4919	-0.0105
9.9000	24.4919	0.0524
10.0000	24.5044	0.1780
10.1000	24.5296	0.3979
10.2000	24.5798	0.4608
10.3000	24.6175	0.3979
10.4000	24.6552	0.1676
10.5000	24.6552	0.0419
10.6000	24.6804	0.6597
10.7000	24.7683	0.4817
10.8000	24.7683	0.0000
10.9000	24.7809	0.0628
11.0000	24.7809	0.0105
11.1000	24.7934	0.3770
11.2000	24.8563	0.7226
11.3000	24.9317	0.8273
11.4000	25.0196	0.9320
11.5000	25.1076	0.6388
11.6000	25.1453	0.2409
11.7000	25.1704	0.4608
11.8000	25.2333	0.4294
11.9000	25.2584	0.4608
12.0000	25.3338	0.8692
12.1000	25.4218	0.8482
12.2000	25.4972	0.6388
12.3000	25.5474	0.3665
12.4000	25.5726	0.1780
12.5000	25.5851	0.0419
