%Time(s)	Speed(rpm)		
	%3/13/201511:14 AM
0.010	98.700
0.020	98.900
0.030	98.800
0.040	98.700
0.050	98.800
0.060	99.100
0.070	99.300
0.080	99.200
0.090	99.400
0.100	99.400
0.110	99.300
0.120	99.300
0.130	99.200
0.140	99.100
0.150	99.000
0.160	99.000
0.170	99.300
0.180	99.200
0.190	99.300
0.200	99.400
0.210	99.400
0.220	99.400
0.230	99.500
0.240	99.500
0.250	99.200
0.260	99.400
0.270	99.400
0.280	99.000
0.290	98.900
0.300	98.700
0.310	98.400
0.320	98.400
0.330	98.500
0.340	98.300
0.350	98.300
0.360	97.900
0.370	98.200
0.380	98.100
0.390	98.400
0.400	98.500
0.410	98.900
0.420	99.100
0.430	99.400
0.440	99.300
0.450	99.200
0.460	99.400
0.470	99.500
0.480	99.300
0.490	99.300
0.500	99.100
0.510	98.900
0.520	98.800
0.530	99.100
0.540	99.100
0.550	99.100
0.560	99.300
0.570	99.300
0.580	99.400
0.590	99.300
0.600	99.300
0.610	99.200
0.620	99.100
0.630	99.100
0.640	99.200
0.650	99.200
0.660	99.300
0.670	99.300
0.680	99.400
0.690	99.400
0.700	99.500
0.710	99.300
0.720	99.400
0.730	98.900
0.740	100.500
0.750	99.300
0.760	99.100
0.770	99.100
0.780	98.900
0.790	99.000
0.800	99.000
0.810	98.900
0.820	98.900
0.830	98.800
0.840	98.500
0.850	98.500
0.860	98.500
0.870	98.900
0.880	99.000
0.890	99.400
0.900	99.400
0.910	99.200
0.920	99.100
0.930	99.200
0.940	99.100
0.950	99.200
0.960	99.100
0.970	99.000
0.980	98.800
0.990	98.900
1.000	98.600
1.010	98.900
1.020	99.000
1.030	99.000
1.040	99.100
1.050	99.100
1.060	99.300
1.070	99.100
1.080	98.700
1.090	98.700
1.100	98.700
1.110	98.600
1.120	98.800
1.130	98.800
1.140	98.800
1.150	98.800
1.160	98.800
1.170	99.000
1.180	98.900
1.190	99.000
1.200	99.000
1.210	99.000
1.220	99.200
1.230	99.500
1.240	99.100
1.250	99.100
1.260	99.000
1.270	98.800
1.280	98.800
1.290	98.700
1.300	98.700
1.310	98.600
1.320	98.300
1.330	98.300
1.340	98.100
1.350	98.400
1.360	98.400
1.370	98.800
1.380	98.600
1.390	98.900
1.400	98.800
1.410	99.100
1.420	99.300
1.430	99.300
1.440	99.300
1.450	99.400
1.460	99.200
1.470	99.300
1.480	99.000
1.490	99.300
1.500	99.400
1.510	99.400
1.520	99.000
1.530	99.600
1.540	99.500
1.550	99.300
1.560	99.200
1.570	99.100
1.580	99.300
1.590	99.200
1.600	99.200
1.610	99.200
1.620	99.200
1.630	99.300
1.640	99.100
1.650	99.400
1.660	99.200
1.670	99.100
1.680	99.200
1.690	98.900
1.700	99.000
1.710	99.100
1.720	98.800
1.730	98.600
1.740	98.400
1.750	98.200
1.760	98.200
1.770	98.100
1.780	98.000
1.790	98.200
1.800	97.500
1.810	97.900
1.820	98.000
1.830	98.500
1.840	98.500
1.850	99.000
1.860	98.800
1.870	99.100
1.880	99.000
1.890	98.800
1.900	99.200
1.910	99.000
1.920	98.900
1.930	99.100
1.940	99.100
1.950	99.000
1.960	98.900
1.970	99.100
1.980	99.400
1.990	99.300
2.000	99.400
2.010	99.100
2.020	99.600
2.030	99.200
2.040	99.400
2.050	99.400
2.060	99.500
2.070	99.200
2.080	99.200
2.090	99.300
2.100	98.900
2.110	99.400
2.120	99.300
2.130	99.200
2.140	99.300
2.150	99.300
2.160	99.400
2.170	99.300
2.180	99.700
2.190	99.700
2.200	99.600
2.210	99.200
2.220	99.200
2.230	99.000
2.240	98.900
2.250	98.800
2.260	98.800
2.270	98.700
2.280	98.400
2.290	97.900
2.300	99.000
2.310	98.400
2.320	98.500
2.330	98.900
2.340	98.700
2.350	98.700
2.360	98.700
2.370	98.900
2.380	99.000
2.390	99.000
2.400	99.200
2.410	99.200
2.420	98.900
2.430	99.200
2.440	98.900
2.450	99.100
2.460	99.300
2.470	99.200
2.480	99.300
2.490	98.600
2.500	100.300
2.510	99.000
2.520	99.000
2.530	99.000
2.540	98.900
2.550	98.800
2.560	98.900
2.570	99.000
2.580	99.100
2.590	98.900
2.600	99.200
2.610	99.000
2.620	99.300
2.630	99.400
2.640	99.400
2.650	99.200
2.660	99.400
2.670	99.400
2.680	99.200
2.690	98.900
2.700	98.400
2.710	98.800
2.720	98.400
2.730	98.400
2.740	98.300
2.750	98.200
2.760	98.000
2.770	97.800
2.780	98.200
2.790	98.100
2.800	98.300
2.810	98.700
2.820	98.700
2.830	98.700
2.840	98.800
2.850	99.100
2.860	99.400
2.870	99.400
2.880	99.100
2.890	99.500
2.900	99.300
2.910	99.300
2.920	99.100
2.930	99.200
2.940	99.300
2.950	99.300
2.960	99.300
2.970	99.200
2.980	99.600
2.990	99.500
3.000	99.300
3.010	99.300
3.020	99.200
3.030	99.200
3.040	99.000
3.050	99.000
3.060	98.800
3.070	98.800
3.080	98.600
3.090	98.600
3.100	98.500
3.110	98.600
3.120	98.400
3.130	98.300
3.140	98.200
3.150	98.300
3.160	98.300
3.170	97.800
3.180	97.700
3.190	97.600
3.200	97.400
3.210	97.300
3.220	97.200
3.230	97.100
3.240	97.000
3.250	96.700
3.260	96.600
3.270	96.800
3.280	96.700
3.290	96.900
3.300	97.100
3.310	96.800
3.320	96.700
3.330	96.400
3.340	96.600
3.350	96.600
3.360	96.300
3.370	96.300
3.380	96.200
3.390	96.100
3.400	96.000
3.410	95.900
3.420	95.900
3.430	95.900
3.440	96.000
3.450	96.000
3.460	95.800
3.470	96.000
3.480	95.900
3.490	95.500
3.500	95.400
3.510	95.200
3.520	95.100
3.530	95.200
3.540	95.000
3.550	94.900
3.560	94.800
3.570	94.700
3.580	94.700
3.590	94.600
3.600	94.500
3.610	94.400
3.620	94.300
3.630	94.400
3.640	94.300
3.650	94.100
3.660	93.900
3.670	93.500
3.680	93.600
3.690	93.400
3.700	93.400
3.710	93.200
3.720	93.200
3.730	92.900
3.740	92.700
3.750	92.900
3.760	92.900
3.770	92.900
3.780	93.200
3.790	92.900
3.800	92.900
3.810	92.700
3.820	92.700
3.830	92.700
3.840	92.400
3.850	92.300
3.860	92.400
3.870	92.300
3.880	92.100
3.890	92.000
3.900	91.900
3.910	91.900
3.920	92.000
3.930	92.000
3.940	92.000
3.950	92.000
3.960	92.000
3.970	91.300
3.980	92.100
3.990	91.500
4.000	91.400
4.010	91.300
4.020	91.100
4.030	91.200
4.040	91.100
4.050	91.000
4.060	91.000
4.070	90.900
4.080	90.800
4.090	90.600
4.100	90.600
4.110	90.600
4.120	90.500
4.130	90.300
4.140	90.400
4.150	90.300
4.160	90.200
4.170	90.000
4.180	89.900
4.190	89.600
4.200	89.500
4.210	89.500
4.220	89.300
4.230	89.200
4.240	89.300
4.250	89.000
4.260	88.700
4.270	88.800
4.280	88.900
4.290	88.900
4.300	88.900
4.310	89.100
4.320	88.900
4.330	88.900
4.340	88.600
4.350	88.600
4.360	88.700
4.370	88.400
4.380	88.300
4.390	88.400
4.400	88.300
4.410	88.200
4.420	88.000
4.430	88.000
4.440	87.800
4.450	87.900
4.460	88.000
4.470	88.000
4.480	88.000
4.490	87.900
4.500	87.900
4.510	87.700
4.520	87.700
4.530	87.500
4.540	87.400
4.550	87.200
4.560	87.200
4.570	87.100
4.580	87.100
4.590	87.000
4.600	86.900
4.610	86.900
4.620	86.600
4.630	86.800
4.640	86.600
4.650	86.500
4.660	86.400
4.670	86.300
4.680	86.300
4.690	86.300
4.700	86.200
