%Time(s)	Speed(rpm)		
	%3/13/201511:43 AM
0.010	101.400
0.020	101.100
0.030	101.100
0.040	101.300
0.050	101.300
0.060	101.700
0.070	101.700
0.080	101.900
0.090	101.600
0.100	101.600
0.110	101.600
0.120	101.200
0.130	101.200
0.140	100.900
0.150	100.900
0.160	100.500
0.170	100.300
0.180	100.200
0.190	99.800
0.200	100.000
0.210	99.800
0.220	99.700
0.230	99.500
0.240	99.500
0.250	99.500
0.260	99.200
0.270	99.100
0.280	98.600
0.290	98.700
0.300	98.200
0.310	98.100
0.320	98.000
0.330	97.800
0.340	97.600
0.350	97.600
0.360	97.600
0.370	97.500
0.380	97.400
0.390	97.400
0.400	97.500
0.410	98.200
0.420	98.200
0.430	98.900
0.440	99.200
0.450	99.200
0.460	99.300
0.470	99.500
0.480	99.400
0.490	99.600
0.500	99.200
0.510	99.400
0.520	99.500
0.530	99.700
0.540	99.800
0.550	99.900
0.560	99.900
0.570	100.000
0.580	100.100
0.590	100.100
0.600	99.600
0.610	99.800
0.620	99.600
0.630	99.700
0.640	99.800
0.650	99.800
0.660	99.500
0.670	99.300
0.680	99.800
0.690	99.500
0.700	99.600
0.710	99.500
0.720	99.400
0.730	99.400
0.740	99.100
0.750	99.100
0.760	98.900
0.770	98.900
0.780	99.000
0.790	98.800
0.800	98.900
0.810	99.200
0.820	99.000
0.830	99.300
0.840	99.500
0.850	99.800
0.860	99.500
0.870	99.700
0.880	99.800
0.890	99.800
0.900	99.700
0.910	99.500
0.920	99.800
0.930	99.500
0.940	99.400
0.950	99.800
0.960	99.700
0.970	99.700
0.980	99.700
0.990	100.000
1.000	100.000
1.010	100.400
1.020	100.500
1.030	100.300
1.040	100.400
1.050	100.800
1.060	100.600
1.070	100.100
1.080	99.800
1.090	100.300
1.100	99.700
1.110	99.700
1.120	99.600
1.130	99.300
1.140	99.200
1.150	99.400
1.160	99.600
1.170	99.500
1.180	99.900
1.190	99.600
1.200	100.300
1.210	100.200
1.220	100.000
1.230	99.900
1.240	99.800
1.250	99.800
1.260	99.800
1.270	99.700
1.280	99.600
1.290	99.600
1.300	99.600
1.310	99.700
1.320	99.700
1.330	99.600
1.340	99.800
1.350	99.800
1.360	100.200
1.370	100.200
1.380	100.000
1.390	100.000
1.400	100.200
1.410	100.400
1.420	100.300
1.430	100.600
1.440	100.600
1.450	100.400
1.460	100.300
1.470	100.500
1.480	100.500
1.490	100.700
1.500	100.600
1.510	100.500
1.520	100.500
1.530	100.700
1.540	100.500
1.550	100.200
1.560	100.100
1.570	99.900
1.580	99.900
1.590	99.800
1.600	99.800
1.610	99.500
1.620	99.500
1.630	99.800
1.640	99.900
1.650	100.000
1.660	100.100
1.670	100.500
1.680	100.500
1.690	100.000
1.700	99.700
1.710	99.800
1.720	99.500
1.730	99.400
1.740	99.400
1.750	99.400
1.760	99.500
1.770	99.400
1.780	99.600
1.790	99.800
1.800	99.300
1.810	100.000
1.820	99.800
1.830	100.000
1.840	100.300
1.850	100.600
1.860	100.200
1.870	100.700
1.880	100.300
1.890	100.600
1.900	100.300
1.910	100.500
1.920	100.400
1.930	100.100
1.940	100.000
1.950	100.200
1.960	100.400
1.970	100.500
1.980	100.400
1.990	100.500
2.000	100.600
2.010	100.600
2.020	100.200
2.030	100.300
2.040	100.000
2.050	100.000
2.060	99.600
2.070	99.600
2.080	99.600
2.090	99.300
2.100	99.500
2.110	99.800
2.120	99.400
2.130	99.400
2.140	99.700
2.150	99.900
2.160	99.700
2.170	99.800
2.180	99.500
2.190	99.400
2.200	99.500
2.210	99.700
2.220	99.600
2.230	99.400
2.240	100.000
2.250	99.600
2.260	99.600
2.270	99.900
2.280	99.800
2.290	99.800
2.300	99.700
2.310	100.000
2.320	100.200
2.330	99.800
2.340	100.000
2.350	99.900
2.360	100.300
2.370	100.100
2.380	100.100
2.390	100.100
