%Time(s)	Speed(rpm)		
	%3/22/20171:08 PM
0.010	109.500
0.020	109.700
0.030	109.600
0.040	109.700
0.050	109.900
0.060	109.700
0.070	109.800
0.080	109.800
0.090	110.100
0.100	110.100
0.110	109.700
0.120	109.800
0.130	109.800
0.140	109.600
0.150	109.000
0.160	109.400
0.170	109.200
0.180	109.100
0.190	109.200
0.200	109.100
0.210	108.900
0.220	109.600
0.230	109.400
0.240	109.500
0.250	109.500
0.260	109.400
0.270	109.500
0.280	109.500
0.290	109.400
0.300	109.300
0.310	109.600
0.320	109.500
0.330	109.600
0.340	109.900
0.350	109.500
0.360	109.700
0.370	109.800
0.380	110.000
0.390	109.600
0.400	109.800
0.410	109.700
0.420	109.900
0.430	109.900
0.440	109.700
0.450	110.100
0.460	110.000
0.470	110.100
0.480	110.200
0.490	109.900
0.500	110.000
0.510	110.000
0.520	110.200
0.530	109.700
0.540	109.600
0.550	109.500
0.560	109.500
0.570	109.200
0.580	108.900
0.590	108.900
0.600	108.800
0.610	109.000
0.620	108.900
0.630	109.200
0.640	109.900
0.650	109.800
0.660	110.000
0.670	110.000
0.680	109.700
0.690	109.700
0.700	109.700
0.710	109.200
0.720	109.700
0.730	109.600
0.740	109.500
0.750	109.300
0.760	109.700
0.770	109.500
0.780	109.700
0.790	109.800
0.800	109.800
0.810	109.900
0.820	109.900
0.830	109.900
0.840	110.100
0.850	110.000
0.860	110.300
0.870	110.100
0.880	110.300
0.890	110.200
0.900	110.400
0.910	110.200
0.920	110.300
0.930	110.600
0.940	110.300
0.950	110.200
0.960	110.100
0.970	110.000
0.980	110.000
0.990	109.600
1.000	109.700
1.010	109.700
1.020	109.600
1.030	109.500
1.040	109.600
1.050	109.700
1.060	110.000
1.070	110.300
1.080	110.100
1.090	110.300
1.100	109.900
1.110	109.600
1.120	110.000
1.130	109.700
1.140	109.700
1.150	109.800
1.160	109.900
1.170	109.600
1.180	109.800
1.190	109.700
1.200	109.900
1.210	110.200
1.220	110.200
1.230	110.200
1.240	110.000
1.250	110.000
1.260	110.100
1.270	110.000
1.280	110.300
1.290	110.300
1.300	110.200
1.310	110.400
1.320	110.400
1.330	110.500
1.340	110.500
1.350	110.700
1.360	110.400
1.370	110.600
1.380	110.400
1.390	110.700
1.400	110.300
1.410	110.200
1.420	109.900
1.430	109.900
1.440	109.900
1.450	109.500
1.460	109.500
1.470	109.000
1.480	109.900
1.490	110.100
1.500	110.300
1.510	110.300
1.520	110.400
1.530	110.200
1.540	110.300
1.550	110.100
1.560	109.900
1.570	110.000
1.580	109.600
1.590	109.900
1.600	109.800
1.610	109.800
1.620	109.800
1.630	109.900
1.640	110.100
