%Time(s)	Speed(rpm)		
	%3/21/20175:25 PM
0.010	101.700
0.020	101.600
0.030	101.300
0.040	101.000
0.050	101.100
0.060	100.800
0.070	100.700
0.080	100.300
0.090	100.100
0.100	100.100
0.110	100.100
0.120	99.800
0.130	99.700
0.140	99.700
0.150	99.700
0.160	99.700
0.170	100.600
0.180	100.800
0.190	101.500
0.200	102.000
0.210	102.300
0.220	102.400
0.230	102.200
0.240	102.800
0.250	102.900
0.260	102.900
0.270	102.700
0.280	102.800
0.290	102.700
0.300	102.900
0.310	102.200
0.320	101.800
0.330	101.800
0.340	101.500
0.350	101.300
0.360	101.200
0.370	100.900
0.380	100.700
0.390	100.800
0.400	100.700
0.410	100.600
0.420	100.800
0.430	100.600
0.440	100.700
0.450	101.200
0.460	101.900
0.470	102.800
0.480	103.000
0.490	103.300
0.500	103.500
0.510	103.800
0.520	103.800
0.530	103.700
0.540	103.200
0.550	103.400
0.560	103.300
0.570	103.000
0.580	102.800
0.590	102.700
0.600	102.800
0.610	102.400
0.620	102.300
0.630	102.200
0.640	102.200
0.650	101.700
0.660	101.500
0.670	101.300
0.680	101.100
0.690	100.600
0.700	100.600
0.710	100.600
0.720	100.500
0.730	100.100
0.740	100.200
0.750	100.400
0.760	100.400
0.770	100.200
0.780	100.100
0.790	100.700
0.800	101.500
0.810	102.200
0.820	103.200
0.830	103.600
0.840	103.800
0.850	103.800
0.860	103.700
0.870	103.700
0.880	103.600
0.890	103.400
0.900	103.100
0.910	102.700
0.920	102.700
0.930	102.600
0.940	102.000
0.950	101.800
0.960	101.800
0.970	101.600
0.980	101.500
0.990	101.300
1.000	101.000
1.010	100.900
1.020	100.700
1.030	100.500
1.040	100.200
1.050	100.100
1.060	100.100
1.070	100.200
1.080	100.100
1.090	100.000
1.100	100.200
1.110	100.100
1.120	100.200
1.130	100.600
1.140	101.000
1.150	101.400
1.160	101.900
1.170	102.400
1.180	102.700
1.190	102.800
1.200	102.800
1.210	103.000
1.220	103.000
1.230	103.300
1.240	103.000
1.250	103.000
1.260	102.800
1.270	102.700
1.280	102.200
1.290	103.100
1.300	102.600
1.310	102.600
1.320	102.600
1.330	102.700
1.340	102.600
1.350	102.600
1.360	102.300
1.370	102.500
1.380	102.400
1.390	102.900
1.400	102.600
1.410	103.500
1.420	103.600
1.430	103.800
1.440	104.100
1.450	104.100
1.460	103.700
1.470	103.900
1.480	103.900
1.490	103.800
1.500	103.700
1.510	103.300
1.520	103.400
1.530	103.300
1.540	103.200
1.550	103.100
1.560	103.100
1.570	102.700
1.580	102.300
1.590	102.200
1.600	102.100
1.610	101.300
1.620	101.000
1.630	100.500
1.640	99.900
1.650	99.700
1.660	99.200
1.670	98.800
1.680	98.800
1.690	98.700
1.700	98.300
1.710	98.100
1.720	97.900
1.730	97.700
1.740	97.400
1.750	97.300
1.760	97.500
1.770	97.700
1.780	99.000
1.790	99.500
1.800	102.000
1.810	102.100
1.820	102.200
1.830	102.400
1.840	102.400
1.850	102.500
1.860	102.200
1.870	102.300
1.880	102.400
1.890	102.400
1.900	102.400
1.910	102.300
1.920	102.300
1.930	102.400
1.940	102.900
1.950	103.100
1.960	103.300
1.970	103.300
1.980	103.400
1.990	104.000
2.000	103.600
2.010	103.600
2.020	103.900
2.030	103.500
2.040	103.100
2.050	103.000
2.060	102.700
2.070	102.400
2.080	102.400
2.090	102.300
2.100	102.000
2.110	101.800
2.120	102.000
2.130	101.600
2.140	101.900
2.150	101.400
2.160	101.200
2.170	101.000
2.180	100.700
2.190	100.500
2.200	100.300
2.210	100.300
2.220	100.200
2.230	100.400
2.240	100.400
2.250	100.800
2.260	101.100
2.270	102.700
2.280	102.500
2.290	102.900
2.300	103.300
2.310	103.700
2.320	103.400
2.330	103.500
2.340	103.400
2.350	103.400
2.360	103.500
2.370	103.200
2.380	102.900
2.390	102.900
2.400	102.800
2.410	102.700
2.420	102.400
2.430	102.200
2.440	102.000
2.450	102.000
2.460	101.900
2.470	101.700
2.480	102.000
2.490	101.600
2.500	101.000
2.510	100.900
2.520	100.900
2.530	100.500
2.540	100.200
2.550	100.300
2.560	100.200
2.570	100.100
2.580	100.100
2.590	100.500
2.600	100.900
2.610	101.700
2.620	102.300
2.630	102.600
2.640	102.800
2.650	103.200
2.660	103.100
2.670	103.200
2.680	103.100
2.690	103.100
2.700	103.200
2.710	103.400
2.720	103.300
2.730	103.300
2.740	103.200
2.750	103.000
2.760	103.300
2.770	103.200
2.780	102.800
2.790	102.700
2.800	102.600
2.810	102.600
2.820	102.400
2.830	102.200
