%Time(s)	Speed(rpm)		
	%3/12/201512:04 PM
0.010	97.700
0.020	97.700
0.030	97.700
0.040	97.500
0.050	97.500
0.060	97.500
0.070	97.600
0.080	98.200
0.090	98.300
0.100	98.900
0.110	99.500
0.120	100.300
0.130	100.300
0.140	100.700
0.150	100.700
0.160	100.600
0.170	100.800
0.180	100.500
0.190	100.300
0.200	100.100
0.210	100.600
0.220	100.100
0.230	99.800
0.240	99.600
0.250	99.600
0.260	99.500
0.270	99.600
0.280	99.600
0.290	99.000
0.300	99.400
0.310	99.400
0.320	99.100
0.330	99.200
0.340	99.500
0.350	99.100
0.360	99.000
0.370	98.900
0.380	98.900
0.390	98.600
0.400	98.600
0.410	98.500
0.420	98.500
0.430	98.400
0.440	98.500
0.450	98.400
0.460	98.200
0.470	98.000
0.480	97.900
0.490	97.900
0.500	97.400
0.510	98.300
0.520	97.600
0.530	97.600
0.540	97.400
0.550	97.400
0.560	97.300
0.570	97.300
0.580	97.300
0.590	97.400
0.600	97.900
0.610	98.500
0.620	99.300
0.630	100.100
0.640	101.200
0.650	101.400
0.660	101.400
0.670	101.400
0.680	101.200
0.690	101.600
0.700	100.900
0.710	100.900
0.720	100.700
0.730	100.700
0.740	100.700
0.750	100.600
0.760	100.500
0.770	100.300
0.780	100.400
0.790	100.400
0.800	100.000
0.810	100.000
0.820	100.100
0.830	99.900
0.840	99.700
0.850	99.700
0.860	99.600
0.870	99.300
0.880	99.300
0.890	99.300
0.900	99.200
0.910	99.100
0.920	99.000
0.930	99.100
0.940	98.900
0.950	98.800
0.960	98.700
0.970	98.400
0.980	98.400
0.990	98.700
1.000	98.300
1.010	98.200
1.020	98.200
1.030	98.100
1.040	98.000
1.050	97.900
1.060	98.000
1.070	98.000
1.080	98.000
1.090	98.000
1.100	97.700
1.110	98.300
1.120	98.200
1.130	98.400
1.140	98.300
1.150	98.100
1.160	98.200
1.170	98.300
1.180	98.200
1.190	98.100
1.200	97.900
1.210	97.800
1.220	97.900
1.230	98.000
1.240	98.100
1.250	97.800
1.260	98.000
1.270	97.900
1.280	97.700
1.290	97.700
1.300	97.900
1.310	98.000
1.320	97.600
1.330	97.400
1.340	97.400
1.350	97.300
1.360	97.300
1.370	97.700
1.380	98.500
1.390	99.000
1.400	99.800
1.410	100.100
1.420	100.400
1.430	100.500
1.440	100.500
1.450	100.400
1.460	100.300
1.470	100.300
1.480	100.100
1.490	100.000
1.500	99.900
1.510	99.800
1.520	99.500
1.530	99.500
1.540	99.400
1.550	99.400
1.560	99.300
1.570	99.200
1.580	98.800
1.590	99.000
1.600	98.800
1.610	99.100
1.620	98.600
1.630	98.600
1.640	98.600
1.650	98.400
1.660	98.700
1.670	98.400
1.680	98.400
1.690	98.400
1.700	98.500
1.710	98.500
1.720	98.700
1.730	98.600
1.740	98.900
1.750	98.800
1.760	98.700
1.770	98.700
1.780	98.800
1.790	99.400
1.800	98.800
1.810	98.600
1.820	98.500
1.830	98.400
1.840	98.400
1.850	98.400
1.860	98.400
1.870	98.300
1.880	98.300
1.890	98.000
1.900	98.200
1.910	98.200
1.920	98.700
1.930	98.500
1.940	99.600
1.950	99.700
1.960	100.700
1.970	100.200
1.980	100.200
1.990	100.100
2.000	99.900
2.010	99.700
2.020	99.600
2.030	99.600
2.040	99.600
2.050	99.600
2.060	99.200
2.070	99.200
2.080	99.200
