%Time(s)	Speed(rpm)		
	%3/13/201511:37 AM
0.010	101.300
0.020	101.100
0.030	101.000
0.040	100.900
0.050	100.900
0.060	101.600
0.070	101.200
0.080	101.200
0.090	101.300
0.100	101.200
0.110	101.100
0.120	100.900
0.130	100.800
0.140	100.800
0.150	100.800
0.160	100.500
0.170	100.300
0.180	100.200
0.190	100.500
0.200	100.200
0.210	100.500
0.220	100.400
0.230	100.500
0.240	100.300
0.250	100.300
0.260	100.700
0.270	100.700
0.280	100.500
0.290	100.300
0.300	100.600
0.310	100.200
0.320	100.100
0.330	100.200
0.340	100.000
0.350	99.700
0.360	99.600
0.370	99.900
0.380	99.900
0.390	99.900
0.400	99.900
0.410	99.900
0.420	99.900
0.430	100.000
0.440	99.900
0.450	99.300
0.460	99.200
0.470	98.900
0.480	98.700
0.490	98.500
0.500	98.400
0.510	98.300
0.520	97.700
0.530	98.200
0.540	98.100
0.550	98.100
0.560	98.100
0.570	98.000
0.580	98.100
0.590	97.800
0.600	97.900
0.610	98.000
0.620	98.000
0.630	98.300
0.640	97.800
0.650	98.600
0.660	98.600
0.670	98.700
0.680	98.600
0.690	99.000
0.700	98.900
0.710	99.000
0.720	98.800
0.730	98.800
0.740	98.900
0.750	99.000
0.760	98.800
0.770	98.600
0.780	99.000
0.790	99.300
0.800	99.500
0.810	99.900
0.820	99.600
0.830	99.900
0.840	99.900
0.850	100.000
0.860	100.000
0.870	100.200
0.880	100.100
0.890	100.300
0.900	100.400
0.910	100.700
0.920	100.600
0.930	100.300
0.940	100.200
0.950	100.100
0.960	100.000
0.970	100.000
0.980	99.900
0.990	99.900
1.000	99.800
1.010	100.100
1.020	100.500
1.030	100.600
1.040	100.600
1.050	101.000
1.060	100.500
1.070	100.500
1.080	100.200
1.090	100.300
1.100	100.200
1.110	99.900
1.120	100.000
1.130	99.800
1.140	99.500
1.150	99.600
1.160	99.500
1.170	99.700
1.180	99.800
1.190	99.700
1.200	99.500
1.210	99.800
1.220	100.000
1.230	99.900
1.240	99.700
1.250	99.800
1.260	99.900
1.270	100.100
1.280	100.300
1.290	100.300
1.300	100.100
1.310	100.000
1.320	100.200
1.330	100.500
1.340	100.400
1.350	100.600
1.360	100.500
1.370	100.900
1.380	100.900
1.390	100.700
1.400	100.700
1.410	100.400
1.420	100.200
1.430	100.200
1.440	100.300
1.450	100.100
1.460	100.100
1.470	99.600
1.480	100.200
1.490	100.100
1.500	100.600
1.510	100.400
1.520	100.400
1.530	100.600
1.540	100.500
1.550	100.200
1.560	100.100
1.570	100.100
1.580	100.000
1.590	99.700
1.600	99.900
1.610	99.700
1.620	99.800
1.630	99.600
1.640	99.800
1.650	99.900
1.660	100.100
1.670	100.100
1.680	100.300
1.690	100.500
1.700	100.400
1.710	100.400
1.720	100.500
1.730	100.500
1.740	100.500
1.750	100.500
1.760	100.800
1.770	100.500
1.780	100.400
1.790	100.400
1.800	100.500
