%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101618.550,300.499,1.178,0.000,-0.498,0.336,-4.431,-2.563,-0.748,0.105,-0.540,-3.217,-4.271,-2.996,-1.563,-2.084,-0.316,-3.505,1.466,-1.254,-1.140,-1.801,-7.989,-0.005,-0.306,0.000,535.448,336.520
101622.582,300.504,1.178,0.000,-0.261,0.176,-4.864,-3.232,-0.428,0.209,-1.511,-3.425,-3.524,-3.745,-1.786,-1.875,0.106,-3.717,0.628,-0.418,-1.036,-1.576,-7.999,-0.005,-0.306,0.000,535.448,336.520
101622.582,300.499,1.178,0.000,-0.656,0.016,-3.567,-3.789,-0.641,0.523,-1.187,-3.321,-3.310,-3.103,-1.786,-1.459,0.528,-4.248,0.838,-0.522,-0.933,-2.251,-8.010,0.014,-0.285,0.002,535.448,336.520
101630.644,300.502,1.178,0.000,-0.261,0.016,-3.891,-2.563,-1.390,-0.000,-0.756,-3.736,-3.310,-2.996,-1.228,-1.667,0.317,-3.717,0.524,-0.418,-0.726,-1.463,-7.999,0.014,-0.285,0.000,535.448,336.520
101630.644,300.502,1.178,0.000,-0.340,0.176,-3.351,-2.675,-0.321,-0.731,-0.756,-3.114,-3.524,-3.103,-1.340,-1.042,0.422,-3.398,1.466,-1.358,-0.829,-1.576,-8.020,-0.005,-0.295,0.000,535.448,336.520
101630.644,300.498,1.178,0.000,-0.261,0.016,-4.215,-3.232,-0.107,0.105,-1.079,-3.736,-3.097,-3.852,-1.675,-1.355,0.845,-3.186,0.419,-0.209,-1.658,-1.688,-7.999,-0.005,-0.285,0.001,535.448,336.520
101626.613,300.504,1.178,0.000,-0.340,0.176,-3.783,-3.567,-0.748,0.523,-1.187,-3.736,-2.990,-2.675,-2.009,-1.042,0.845,-3.929,0.733,-0.522,-1.244,-2.026,-7.999,-0.005,-0.285,0.002,535.448,336.520
101622.582,300.499,1.178,0.000,-0.419,-0.304,-4.107,-2.786,-1.496,-0.209,-0.216,-3.632,-3.203,-2.997,-1.451,-2.188,0.739,-3.398,0.733,-0.731,-1.036,-1.576,-8.020,-0.005,-0.306,0.001,535.448,336.520
101618.550,300.496,1.178,0.000,-0.498,-0.144,-4.539,-3.567,-1.390,-0.939,-0.864,-3.217,-2.990,-3.318,-1.675,-1.250,-0.105,-3.717,1.361,-1.254,-1.658,-1.463,-7.979,0.033,-0.295,0.001,535.448,336.520
101618.550,300.498,1.178,0.000,-0.340,-0.144,-3.999,-3.901,-0.855,0.418,-1.403,-3.321,-3.203,-3.104,-1.786,-1.563,0.845,-4.142,0.524,-0.522,-1.762,-1.576,-7.999,-0.005,-0.316,0.002,535.448,336.520
101610.487,300.498,1.178,0.000,-0.419,0.016,-4.215,-3.121,-1.496,-0.313,-0.432,-4.462,-3.630,-2.997,-2.121,-1.772,0.317,-3.929,0.314,-0.836,-1.347,-2.589,-8.020,-0.025,-0.295,0.001,535.448,336.520
101614.519,300.504,1.178,0.000,-0.340,0.176,-4.431,-2.786,-1.069,-0.000,-1.295,-3.217,-3.951,-2.997,-1.340,-2.397,0.211,-4.036,0.838,-1.149,-1.244,-1.801,-8.010,0.014,-0.306,0.001,535.448,336.520
101622.582,300.499,1.178,0.000,-0.498,0.496,-4.431,-3.232,-0.962,-0.418,-1.079,-3.321,-3.203,-3.425,-2.121,-1.772,-0.000,-3.505,1.257,-0.940,-1.347,-1.914,-7.989,-0.005,-0.295,0.001,535.448,336.520
101622.582,300.501,1.178,0.000,-0.340,0.336,-3.783,-3.567,-1.283,-0.731,-0.756,-3.321,-3.524,-2.783,-1.675,-2.084,0.317,-4.142,1.047,-0.940,-0.726,-2.026,-7.999,-0.005,-0.295,0.001,535.448,336.520
101622.582,300.499,1.178,0.000,-0.182,0.176,-4.864,-2.563,-1.817,-0.104,-0.864,-4.047,-3.097,-2.997,-0.893,-1.876,0.317,-3.292,0.209,-0.940,-1.347,-1.576,-7.989,0.014,-0.306,0.002,535.448,336.520
101618.550,300.502,1.178,0.000,-0.340,0.336,-4.323,-3.121,-0.962,-0.418,-0.864,-3.424,-3.844,-2.890,-1.786,-1.459,0.528,-3.823,0.838,-1.463,-1.244,-1.689,-7.979,0.014,-0.285,0.001,535.448,336.520
101626.613,300.501,1.178,0.000,-0.340,-0.144,-4.324,-3.121,-0.855,0.209,-1.187,-3.321,-3.310,-3.318,-1.898,-1.772,0.106,-3.505,0.733,-0.731,-1.762,-1.801,-7.979,0.033,-0.295,0.000,535.448,336.520
