%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82227.403,300.909,0.952,0.651,0.202,-0.272,-7.350,-4.347,-2.031,-1.775,-1.619,-4.670,-5.232,-5.992,-3.237,-1.250,0.000,-5.629,1.466,-1.672,-2.591,-3.940,0.027,-0.018,0.020,0.001,535.048,336.269
82235.466,300.909,0.952,0.651,0.202,-0.112,-6.701,-5.127,-2.244,-2.192,-1.511,-5.086,-5.232,-5.029,-4.130,-2.084,0.317,-6.160,0.733,-1.567,-2.488,-4.165,0.017,-0.037,0.020,-0.000,535.048,336.269
82231.435,300.906,0.952,0.869,0.360,-0.112,-6.485,-4.235,-2.565,-1.983,-1.295,-5.708,-5.766,-5.136,-3.125,-2.084,0.317,-5.841,0.209,-0.627,-2.798,-4.615,0.017,0.001,0.020,0.000,535.048,336.269
82235.466,300.907,0.952,0.768,0.281,0.048,-6.701,-4.793,-2.031,-2.192,-1.511,-4.670,-5.659,-4.922,-3.349,-1.876,-0.527,-5.416,1.047,-1.567,-3.006,-3.827,0.027,-0.018,0.020,-0.000,535.048,336.269
82231.435,300.909,0.952,0.768,0.281,-0.112,-6.809,-5.127,-1.924,-1.775,-2.375,-4.878,-5.446,-5.778,-3.460,-1.876,0.211,-6.053,0.419,-1.254,-2.488,-3.827,0.017,-0.018,0.020,0.000,535.048,336.269
82231.435,300.911,0.952,0.768,0.281,-0.432,-6.377,-5.684,-2.672,-1.357,-1.511,-4.567,-5.552,-4.708,-3.795,-1.771,0.634,-6.160,1.466,-1.358,-2.280,-4.503,0.017,-0.037,0.010,0.001,535.048,336.269
82235.466,300.912,0.952,0.960,0.439,-0.272,-7.025,-3.455,-2.565,-0.939,-1.619,-4.670,-5.339,-4.708,-2.456,-2.813,0.423,-5.522,0.628,-0.940,-2.384,-4.277,0.006,-0.018,-0.000,0.000,535.048,336.269
82227.403,300.907,0.952,0.507,0.122,0.048,-7.242,-4.012,-1.924,-1.983,-1.727,-4.878,-5.979,-5.564,-3.237,-1.667,0.211,-5.947,1.047,-2.299,-2.798,-3.827,0.037,-0.056,0.030,0.001,535.048,336.269
82231.435,300.909,0.952,0.869,0.360,-0.112,-7.350,-4.570,-2.031,-1.357,-1.619,-4.567,-5.232,-5.671,-2.791,-2.084,0.317,-5.735,0.628,-1.149,-3.006,-3.827,0.017,0.001,0.020,-0.000,535.048,336.269
82223.372,300.906,0.952,0.960,0.439,0.048,-6.809,-5.127,-2.138,-1.566,-1.295,-5.604,-5.659,-4.708,-4.242,-1.563,0.528,-5.416,0.733,-0.940,-2.695,-4.728,0.037,-0.037,-0.000,0.001,535.048,336.269
