%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82582.166,301.181,0.955,0.490,0.115,-0.304,-7.782,-5.573,-2.993,-1.879,-2.375,-4.982,-5.873,-6.206,-4.354,-2.709,-0.000,-6.903,0.105,-1.776,-3.628,-4.503,-0.019,-0.044,0.011,-0.000,535.048,336.269
82586.197,301.178,0.955,0.273,0.036,-0.304,-7.350,-6.018,-2.565,-2.192,-2.375,-5.397,-5.979,-5.564,-4.689,-2.292,-0.000,-6.691,0.000,-1.985,-3.109,-4.615,-0.009,-0.025,0.001,0.001,535.048,336.269
82586.197,301.180,0.955,0.490,0.115,0.016,-7.458,-4.681,-3.955,-2.296,-1.943,-4.982,-6.086,-5.564,-3.796,-3.334,-0.527,-6.372,0.000,-2.090,-3.420,-4.277,-0.009,-0.044,0.021,0.000,535.048,336.269
82582.166,301.177,0.955,0.490,0.115,-0.464,-7.350,-5.461,-2.352,-2.923,-2.159,-5.293,-6.086,-5.243,-4.130,-1.875,-0.738,-6.691,0.105,-2.821,-3.109,-4.503,-0.030,-0.044,-0.009,0.000,535.048,336.269
82582.166,301.178,0.955,0.273,0.036,-0.144,-6.809,-5.461,-2.993,-1.983,-2.699,-5.189,-6.620,-5.243,-4.242,-2.292,0.106,-6.797,0.000,-1.672,-3.524,-4.390,-0.009,-0.044,0.001,-0.000,535.048,336.269
82582.166,301.177,0.955,0.490,0.115,-0.144,-7.025,-5.573,-2.993,-2.192,-1.727,-5.708,-6.193,-5.457,-4.800,-2.292,0.211,-6.478,0.628,-1.672,-2.798,-5.628,0.012,-0.063,-0.019,0.000,535.048,336.269
82586.197,301.177,0.955,0.273,0.036,0.016,-7.566,-5.238,-3.314,-1.983,-1.835,-5.293,-6.086,-5.992,-3.684,-3.126,-0.316,-6.584,0.314,-1.985,-3.109,-4.615,0.002,-0.063,-0.009,0.000,535.048,336.269
82586.197,301.178,0.955,0.000,-0.043,0.016,-7.674,-5.461,-2.672,-2.714,-1.295,-5.397,-5.873,-5.779,-3.684,-2.396,-0.105,-6.372,0.209,-1.881,-2.902,-4.953,-0.009,-0.044,0.011,0.000,535.048,336.269
82586.197,301.178,0.955,0.000,-0.043,-0.304,-7.350,-5.573,-2.779,-1.775,-2.591,-5.501,-6.086,-5.779,-4.354,-2.396,0.211,-6.903,0.419,-1.881,-3.628,-4.503,-0.009,-0.063,0.001,0.000,535.048,336.269
82586.197,301.178,0.955,0.273,0.036,0.176,-7.025,-5.238,-2.993,-1.775,-1.727,-6.435,-6.193,-5.458,-4.130,-2.709,-0.527,-6.266,-0.209,-1.776,-3.006,-5.516,0.002,-0.025,-0.009,-0.000,535.048,336.269
